,Brand,All_vegan,Partial_vegan,Bad_parent_company,Black_owned,Ulta,Sephora,Beauty_Bay,Cult_Beauty,Nordstrom
160,CRUX Supply Co,False,False,False,False,0,0,0,0,0
161,CUROXEN,False,False,False,False,0,0,0,0,0
162,Cadia,False,False,False,False,0,0,0,0,0
163,Cailyn Cosmetics,False,False,False,False,0,0,0,0,0
164,Caitlin’s Super Natural,True,False,False,False,0,0,0,0,0
165,Cake Beauty,True,False,False,False,1,0,0,0,0
166,Caldrea,False,False,True,False,0,0,0,0,0
167,Caley Cosmetics,False,False,False,False,0,0,0,0,0
168,Caroline’s Dream,False,False,False,False,0,0,0,0,0
169,Cate McNabb,False,False,False,False,0,0,0,0,0
170,Cedar + Stone,True,False,False,False,0,0,0,0,0
171,Ceremonia,True,False,False,False,0,0,0,0,0
172,Certain Dri,True,False,True,False,0,0,0,0,0
173,Charlotte Tilbury,False,True,False,False,0,1,0,1,1
174,"Cheeky Panda, The",True,False,False,False,0,0,0,0,0
175,Chella,False,False,False,False,0,0,0,0,0
176,"Chemistry Brand, The",False,False,True,False,0,0,0,0,0
177,Christy Organics,True,False,False,False,0,0,0,0,0
178,Ciaté London,False,False,False,False,0,1,0,0,0
179,Clarria Cosmetics,False,False,False,False,0,0,0,0,0
180,Clutch Nails,True,False,False,False,0,0,0,0,0
181,Coco & Eve,False,False,False,False,0,0,0,0,0
182,Cocokind,False,False,False,False,1,0,0,0,0
183,Cocoon Apothecary,True,False,False,False,0,0,0,0,0
184,Cocovit,False,False,False,False,0,0,0,0,0
185,Color Club,True,False,False,False,0,0,0,0,0
186,ColorProof,True,False,False,False,0,0,0,0,0
187,Colorevolution,False,False,False,False,0,0,0,0,0
188,ColourPop,False,False,False,False,1,0,0,0,0
189,Coloured Raine,False,True,False,False,0,0,1,0,0
190,Coloured Raine Cosmetics,False,False,False,True,0,0,0,0,0
191,Conair,False,False,False,False,1,0,0,0,0
192,Concrete Minerals,True,False,False,False,0,0,0,0,0
193,Conscious Skincare,False,False,False,False,0,0,0,0,0
194,Cora,False,False,False,False,0,0,0,0,0
195,Counter Culture Clean,True,False,False,False,0,0,0,0,0
196,Cowshed,False,False,False,False,0,0,0,0,0
197,Crazy Rumors,True,False,False,False,0,0,0,0,0
198,Creature Cosmetics,True,False,False,False,0,0,0,0,0
